Day of Week,Stop ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair
,,,,,,,
Weekday,786451,Wards Rd. (Northbound Starbucks),3,2,5,27,0,37.351508,-79.184180
Weekday,786453,Wards Rd. (Southbound Big-K),3,3,5,160,0,37.368376,-79.183175
Weekday,786459,Wards Rd. (Southbound Wendy's Across From Burlington Coat Factory),2,4,5,170,0,37.373548,-79.184915
Weekday,786471,Woodys Lake Rd. (Walmart Stop Madison Heights),3,3,5,11,0,37.460826,-79.116695
Weekday,788296,Long Meadows Dr. (Northbound First Stop Off Fort Ave.),3,2,5,11,0,37.370851,-79.197149
Weekday,785819,16th St. & Taylor St. (Outbound),1,2,4,44,0,37.403967,-79.146402
Weekday,785830,Atherholt Rd. (Eastbound New Doctor"s Office Across From Surgery Center),3,1,4,57,0,37.408142,-79.177442
Weekday,785884,Buena Vista St. (Corner Of Poplar St.),1,2,4,17,0,37.402400,-79.134788
Weekday,785890,Campbell Ave. (Eastbound Corner Of Dewitt St.),2,2,4,87,0,37.395377,-79.150824
Weekday,785896,Campbell Ave. (Eastbound Corner Of Kent St.),1,3,4,79,0,37.387086,-79.143220
Weekday,785899,Campbell Ave. (Eastbound Corner Of Otey St.),1,3,4,85,0,37.392111,-79.147895
Weekday,785905,Campbell Ave. (Inbound Corner Of Ridge Ave.),3,1,4,53,0,37.385467,-79.141463
Weekday,785907,Campbell Ave. (Westbound Corner Of Dewitt St.),2,2,4,61,0,37.395321,-79.150605
Weekday,785920,Candlers Mountain Rd. (Northbound Applebee"s),3,1,4,54,0,37.362283,-79.171467
Weekday,785927,Candlers Station Shopping Center (In Parking Lot),3,1,4,52,0,37.360942,-79.169413
Weekday,785956,Clay St. (Southbound Corner Of Eleventh St.),2,3,4,62,0,37.411789,-79.143719
Weekday,786031,Florida Ave. (Southbound In Front Of Food Lion),1,2,4,38,0,37.383503,-79.132457
Weekday,786056,Fort Ave. (Northbound Second City Stadium Stop),1,3,4,113,0,37.394367,-79.167788
Weekday,786062,Fort Ave. (Westbound Biltmore Ave.),2,2,4,227,0,37.385359,-79.177495
Weekday,786076,Grace St. (Eastbound Across From Locust St.),2,2,4,44,0,37.403341,-79.142079
Weekday,786079,Grace St. (Eastbound Corner Of Florida Ave.),2,2,4,43,0,37.401360,-79.137286
Weekday,786082,Grace St. (Southbound Corner Of Knight St.),2,3,4,44,0,37.403992,-79.143705
Weekday,786083,Grace St. (Westbound Before Turn Across From Knight Street),3,1,4,21,0,37.403833,-79.143296
Weekday,786107,Kemper and 13th St,1,3,4,47,0,37.403339,-79.154050
Weekday,786114,Lakeside Dr. (Eastbound In Front Of Central Virginia Physicians),3,1,4,49,0,37.399335,-79.207450
Weekday,786116,Lakeside Dr. (Eastbound Lynchburg College Stop),3,1,4,54,0,37.401679,-79.182628
Weekday,786125,Lakeside Dr. (Westbound Corner Of Hood St.),1,3,4,49,0,37.402892,-79.179064
Weekday,786298,Rivermont Ave. (Eastbound Corner Of D St.),1,2,4,80,0,37.421205,-79.148974
Weekday,786311,Rivermont Ave. (Westbound Across From Holly St.),2,2,4,49,0,37.433728,-79.159018
Weekday,786322,Rivermont Ave. (Westbound Corner Of Langhorne Rd.),1,3,4,77,0,37.439141,-79.181775
Weekday,786381,Tate Springs Rd. (Westbound Central Virginia Physicians),3,1,4,41,0,37.413892,-79.173390
Weekday,786447,Wards Rd. (Northbound In Front Of "Cash Loans On Car Titles"),2,2,4,80,0,37.368960,-79.183110
Weekday,788306,Greenwood Dr. (Eastbound Corner Of Perrymont Ave.),3,1,4,15,0,37.392266,-79.189341
Weekday,785812,15Th St. & Buchanan St. (Outbound),1,2,3,46,0,37.402122,-79.151860
Weekday,785813,15Th St. & Pierce St. (Outbound),1,2,3,46,0,37.402707,-79.150791
Weekday,785825,Albert Lankford Dr. (Genworth Outbound),1,1,3,26,0,37.387486,-79.162945
Weekday,785827,Atherholt Rd. (Culdesac New Orthopedic Center),1,2,3,54,0,37.407781,-79.178222
Weekday,785833,Atlanta Ave. (Corner Of Wards Rd. In Front Of Orek Vacuum Store),1,2,3,105,0,37.349571,-79.186832
Weekday,785838,Bedford Ave. (Eastbound Corner Of Loudon St.),2,1,3,28,0,37.432214,-79.162509
Weekday,785888,Cabell St. (Corner Of I St. Community Garden Stop),2,1,3,58,0,37.426674,-79.149081
Weekday,785902,Campbell Ave. (Eastbound Corner Of Thirteenth St.),1,2,3,88,0,37.401594,-79.156549
Weekday,785910,Campbell Ave. (Westbound Corner Of Hughes Ave.),2,1,3,56,0,37.388493,-79.144861
Weekday,785911,Campbell Ave. (Westbound Corner Of Idaho Ave.),2,1,3,55,0,37.387119,-79.142925
Weekday,785913,Campbell Ave. (Westbound Corner Of Mosby Ave.),2,1,3,59,0,37.391649,-79.147458
Weekday,785923,Candlers Station Shopping Center,1,2,3,100,0,37.360604,-79.169503
Weekday,785938,Chambers St. (Northbound Corner Of 1st St.),1,2,3,38,0,37.414495,-79.161195
Weekday,785955,Clay St. (Northbound Corner Of Eleventh St.),1,2,3,46,0,37.411561,-79.143344
Weekday,785958,Clear Brook Nursing Home (Off Hill St. Across From Birchwood Dr.),2,1,3,35,0,37.410597,-79.186032
Weekday,785963,Commerce St. (Eastbound Corner Of 10th St.),2,1,3,43,0,37.414334,-79.140549
Weekday,786004,Federal St. (Westbound Corner Of 2nd St.),1,1,3,65,0,37.417495,-79.152791
Weekday,786006,Fereral St. (Eastbound Corner Where Roundabout Is),2,1,3,69,1,37.415468,-79.151131
Weekday,786029,Florida Ave. (Southbound First Stop Past Bridge Over Tracks),1,1,3,39,0,37.384756,-79.132087
Weekday,786038,Fort Ave. (Eastbound Corner Of Fenwick Dr.),1,2,3,20,0,37.368529,-79.199451
Weekday,786043,Fort Ave. (Northbound Across From Auto Zone),1,3,3,111,0,37.399398,-79.162488
Weekday,786049,Fort Ave. (Northbound Before Mckinney Ave.),2,1,3,130,0,37.380018,-79.182553
Weekday,786055,Fort Ave. (Northbound Rutherford St.),3,1,3,116,0,37.391755,-79.170570
Weekday,786058,Fort Ave. (Westbound Across From Fenwick Dr.),1,2,3,51,0,37.368740,-79.199619
Weekday,786059,Fort Ave. (Westbound Across From Rutherford St.),1,2,3,188,0,37.391759,-79.170773
Weekday,786061,Fort Ave. (Westbound Before East Grand Ave.),2,1,3,187,0,37.394340,-79.168018
Weekday,786064,Fort Ave. (Westbound East Grand Ave.),2,1,3,188,0,37.393207,-79.169210
Weekday,786069,Fort Ave. (Westbound New Hampshire Ave.),3,1,3,226,0,37.386106,-79.176666
Weekday,786073,Fort Ave. (Westbound Vermont Ave.),2,1,3,220,0,37.389327,-79.173353
Weekday,786141,Langhorne Rd. (Eastbound Corner Of Atherholt Rd.),2,1,3,72,0,37.411817,-79.171260
Weekday,786154,Langhorne Rd. (Westbound Corner Of Hillcrest Ave.),1,2,3,115,0,37.410834,-79.168228
Weekday,786157,Langhorne Rd. (Westbound Stop Before Intersection With Atherholt Rd.),1,3,3,113,0,37.411615,-79.170223
Weekday,786167,Linkhorne Dr. (Westbound Across From West St.),1,2,3,83,0,37.415735,-79.204565
Weekday,786179,Main St. (Intersection Of 11Th St.),1,2,3,56,0,37.413529,-79.141033
Weekday,786183,Main St. (Westbound Corner Of Washington St.),1,2,3,110,1,37.410470,-79.138284
Weekday,786207,Oakley Ave. (Eastbound Corner Of Norma St.),1,2,3,55,0,37.398655,-79.171044
Weekday,786215,Odd Fellows Rd. (Eastbound Virginia Dmv Stop),1,2,3,23,0,37.380087,-79.159229
Weekday,786219,Old Forest Rd. (Northbound Across From Timber Court),2,2,3,52,0,37.409035,-79.215135
Weekday,786220,Old Forest Rd. (Northbound Corner Of Forest Brook Rd.),0,2,3,50,0,37.410713,-79.212747
Weekday,786265,Park Ave. (Outbound Corner Of Pierce St.),1,2,3,124,0,37.407252,-79.154834
Weekday,786267,Park Ave. (Westbound Across From Euclid Ave.),0,2,3,62,0,37.404304,-79.165293
